conversation_id,customer_messages,full_conversation,intent,escalate,escalation_reason,notes
440274,help @AmazonHelp || @AmazonHelp Are hotdogs a sandwich or taco? Pls this is important to me,"[CUSTOMER] help @AmazonHelp || [BRAND] @219478 We'd love to! How can we help? For security reasons, no account/order information please. ^MB || [CUSTOMER] @AmazonHelp Are hotdogs a sandwich or taco? Pls this is important to me || [BRAND] @219478 The consensus here is: While technically hot dogs are neither, due to the bun, they would fall in the ""sandwich"" category. ^LB",other,no,,General/non-support question.
133694,"@115850 plz don't try to make fool. Delevery boy, product is your and you have taken my money and making me fool. Plz return my money.@115850 https://t.co/QsIgIQ3fqk","[CUSTOMER] @115850 plz don't try to make fool. Delevery boy, product is your and you have taken my money and making me fool. Plz return my money.@115850 https://t.co/QsIgIQ3fqk || [BRAND] @144968 I'm sorry for the trouble caused due to the incorrect scan. We'd like to have a closer look into this, kindly drop in your details here: https://t.co/beaaDm0muc and we'll have this checked right away.  ^EM",return_refund,yes,Requires order-specific investigation after an incorrect delivery scan and customer requests a refund.,Customer reports a delivery problem and explicitly requests a refund.
1200971,Amazon使い方分からない,[CUSTOMER] Amazon使い方分からない || [BRAND] @402196 お届けした商品に問題がございましたか。発送元はアマゾンでしょうか、出品者でしょうか(発送元は注文または発送のご案内のメールに記載しております)。お困りの状況を教えていただけますか。ET,other,no,,Vague request; customer does not specify a particular Amazon problem.
1048147,"@115821 
I.am unable to log in since a month
Plz help || @AmazonHelp Plz check your internet connection after you log in your email id || @AmazonHelp Only In Amazon 
Rest all is working fine || @AmazonHelp I just tried using the chrome it worked ..
Only the Samsung browser is not working || @AmazonHelp Yes","[CUSTOMER] @115821 
I.am unable to log in since a month
Plz help || [BRAND] @367727 I am sorry to hear. Does it give you an error message when trying to login? ^PK || [CUSTOMER] @AmazonHelp Plz check your internet connection after you log in your email id || [BRAND] @367727 Does this occur when you are trying to log into other sites? Have you tried using a different browser? ^CR || [CUSTOMER] @AmazonHelp Only In Amazon 
Rest all is working fine || [BRAND] @367727 I see. What browser are you using? Do you have the same issue accessing the site through a different browser? ^DC || [CUSTOMER] @AmazonHelp I just tried using the chrome it worked ..
Only the Samsung browser is not working || [BRAND] @367727 Which site are you accessing? https://t.co/nUUp5MLhYl or? Are you using the same device? ^NV || [CUSTOMER] @AmazonHelp Yes || [BRAND] @367727 Please reach out to us directly here: https://t.co/hApLpMlfHN and we'll look into it further. ^PK",account_access,yes,Login/access problem persists after troubleshooting and requires further investigation.,Amazon works in Chrome but not Samsung Browser.
942709,"So when @115821 doesn't deliver your packages on time, your only options are a refund or reorder? Like.. https://t.co/0wyf87Xv7l || @AmazonHelp Yeah that has nothing to do with the issue.","[CUSTOMER] So when @115821 doesn't deliver your packages on time, your only options are a refund or reorder? Like.. https://t.co/0wyf87Xv7l || [BRAND] @343480 Certain requirements must be met to be eligible for a replacement. More info about this here: https://t.co/CwofW7WOY1 ^GL || [CUSTOMER] @AmazonHelp Yeah that has nothing to do with the issue. || [BRAND] @343480 We don't have access to any account info here, Kevin, but it sounds like the item was sold by a seller &amp; fulfilled by us.^FR",delivery_issue,yes,Requires order-specific investigation to determine the delivery and available resolution.,Customer reports a late delivery; AmazonHelp cannot access the account details through Twitter.
538548,"@AmazonHelp warum sieht das buch, das ich neu gekauft habe, schon so zerlesen aus? :( https://t.co/HKTabRiQRx || @AmazonHelp ja, das paket war ziemlich riesig, also ist das wahrscheinlich der grund 🤔 trotzdem schade 😔","[CUSTOMER] @AmazonHelp warum sieht das buch, das ich neu gekauft habe, schon so zerlesen aus? :( https://t.co/HKTabRiQRx || [BRAND] @244856 Wieviel Platz war den noch in der Verpackung? Solche Spuren können auch entstehen, wenn das Buch im Karton herumrutscht. Liebe Grüße ^AN || [CUSTOMER] @AmazonHelp ja, das paket war ziemlich riesig, also ist das wahrscheinlich der grund 🤔 trotzdem schade 😔 || [BRAND] @244856 So sollte dein Buch auch auf keinen Fall bei dir eintreffen. :( Gerne kannst du dich direkt bei den Kollegen im Kundenservice melden: https://t.co/ohyvGrpvrY Diese haben Einblick in deine Bestellung und schauen gerne, was sie für dich tun können. ^SI",return_refund,yes,Product arrived damaged and order-specific investigation is required.,Customer reports a newly purchased book arrived damaged/worn.
418134,"@116875  Pues a pesar de lo tardado que fue, agradezco su atención, pero la verdad de las ultimas veces que compro en amazon || @AmazonHelp Pero me pareció pésimo el servicio la verdad Por no haberme avisado y por que necesitaba los pedidos con urgencia || @AmazonHelp Me reembolsaron el prime y todos mis productos lamentablemante la ultima vez que les compro","[CUSTOMER] @116875  Pues a pesar de lo tardado que fue, agradezco su atención, pero la verdad de las ultimas veces que compro en amazon || [BRAND] @214762 Lamento cualquier inconveniente, ¿Podrías comentarnos más sobre lo que ha ocurrido sin publicar detalles de tu cuenta? ^AZ || [CUSTOMER] @AmazonHelp Pero me pareció pésimo el servicio la verdad Por no haberme avisado y por que necesitaba los pedidos con urgencia || [BRAND] @214762 Lamentamos lo sucedido. Te sugerimos reportar lo sucedido a nuestro Servicio de atención al cliente (https://t.co/beR78zMMYB) ^HC || [CUSTOMER] @AmazonHelp Me reembolsaron el prime y todos mis productos lamentablemante la ultima vez que les compro",delivery_issue,yes,Customer experienced delayed orders and requires further investigation into the delivery/service issue.,Customer reports orders took too long and says they were not notified; Prime and products were refunded.
2700815,@115830  Twice in the past week something I have ordered has been out for delivery by 8pm and has not turned up on the day specified.  Not very impressed...what is the point in paying prime? || @AmazonHelp Yes the package that was due today by 8pm https://t.co/UT68QaVFL1 || @AmazonHelp Thanks for the reply I will.  Just a shame it is not here in time for work tomorrow!,[CUSTOMER] @115830  Twice in the past week something I have ordered has been out for delivery by 8pm and has not turned up on the day specified.  Not very impressed...what is the point in paying prime? || [BRAND] @758694 I'm sorry for the delays. Do you have a current order that is delayed? ^JF || [CUSTOMER] @AmazonHelp Yes the package that was due today by 8pm https://t.co/UT68QaVFL1 || [BRAND] @758694 I understand the frustration and inconvenience this has caused! We want to make sure you receive your parcel by the updated delivery date. Please reach us directly via phone or chat if not delivered by Wednesday: https://t.co/qy3J24VGxb ^BV || [CUSTOMER] @AmazonHelp Thanks for the reply I will.  Just a shame it is not here in time for work tomorrow!,delivery_issue,no,,Repeated delayed deliveries; customer is unhappy with Prime delivery reliability.
354447,@115850 is cheater and they dont belive in post sales services what a patethic customer services i have a come across #fraud #cheater || @AmazonHelp 2/2 as everything work on the system@then whats the point wasting your money puting so many executie #Apnidukaan my foot #fraud #pathetic,"[CUSTOMER] @115850 is cheater and they dont belive in post sales services what a patethic customer services i have a come across #fraud #cheater || [BRAND] @200258 That's quite a comment, could you please tell us what went wrong? We'll be glad to help. ^AG || [CUSTOMER] @AmazonHelp 2/2 as everything work on the system@then whats the point wasting your money puting so many executie #Apnidukaan my foot #fraud #pathetic",other,no,,Customer is highly dissatisfied with customer service but does not provide a specific support issue.
2882528,@AmazonHelp Bonjour j'ai déjà reçu des colis abîmé mais lors ce matin chapeau colis carrément ouvert dans ma boite aux lettre sans l'article dedans que faire ? https://t.co/CNaRnbtvyM || @AmazonHelp oui problème résolu,"[CUSTOMER] @AmazonHelp Bonjour j'ai déjà reçu des colis abîmé mais lors ce matin chapeau colis carrément ouvert dans ma boite aux lettre sans l'article dedans que faire ? https://t.co/CNaRnbtvyM || [BRAND] @799747 Bonjour, je suis sincèrement désolé pour cela. L'avez-vous signalé à notre SAV ? ^ARC || [CUSTOMER] @AmazonHelp oui problème résolu || [BRAND] @799747 Entendu :)  Nous restons à votre disposition en cas de besoin. ^SA",missing_package,no,,Package arrived opened with the ordered item missing; customer later confirmed the problem was resolved.
