conversation_id,customer_message,reply,evidence,human_groundedness,human_helpfulness,human_safety
120193,"El éxito de @116875 se debe entre muchas cosas a su excelente servicio al cliente. Tuve un problema con mi envío y en ningún momento me sentí angustiado. Siempre estuvieron al pendiente y ahora estoy a punto de disfrutarlo. Infinitas gracias. || @AmazonHelp Ya no necesito encontrar al amor de mi vida porque me quiero casar contigo, Amazon. 

O no.",¡Muchas gracias por tus palabras! Nos alegra saber que tuviste una excelente experiencia con nuestro servicio de atención al cliente y entregas. Estamos siempre para ayudarte en lo que necesites. ¡Que disfrutes mucho tu compra! ^S,"[{""conversation_id"": 180436, ""customer_text"": ""Nemmeno una delusione d’amore può eguagliare quella del corriere Amazon che ti sposta il giorno di consegna"", ""brand_reply"": ""@158431 potrai mai perdonarci? 😢 ^CM https://t.co/69C1EGQORH"", ""score"": 0.7044003009796143}, {""conversation_id"": 152006, ""customer_text"": ""@115850  always enjoyed your service. But this time it’s been terrible waiting for a month and still expecting the order !!! #AmazonGiveaway #Amazon https://t.co/7JUdnITnli"", ""brand_reply"": ""@150734 All the orders are shipped and mapped for the delivery based on the estimates provided during checkout. This also differs on various factors like your shipping address, &amp; the Fulfillment Centre its shipped from. Your order should be delivered as per the estimates. ^GD"", ""score"": 0.6831406354904175}, {""conversation_id"": 814307, ""customer_text"": ""DIOS bendiga a @116875 neta me encanta su servicio y lo q venden y la rapidez de entrega \nLarga vida a Amazon"", ""brand_reply"": ""@313944 Nos alegra mucho saberlo, Luiz 😌 Cuéntanos, ¿qué es lo que más te gusta de nuestro servicio? ^LG"", ""score"": 0.6809687614440918}, {""conversation_id"": 2571938, ""customer_text"": ""@AmazonHelp Pathetic experience with Amazon Now delivery!"", ""brand_reply"": ""@729322 That's quite a remark. Looks like you've had an unpleasant experience with us. Could you please let us know what went wrong? We would like to help. ^SM"", ""score"": 0.6805756092071533}, {""conversation_id"": 782013, ""customer_text"": ""@115850 love your customer service. It's outstanding. Ur customer service had made me loyal Amazon customer Keep it up!"", ""brand_reply"": ""@306684 That's quite a compliment, Janhavi. Do keep us posted for any concerns. ^SA"", ""score"": 0.6783631443977356}]",4,4,4
1490353,Hola @130293 ! Cuando estará disponible en españa la segunda temporada de Avatar: La leyenda de Korra? || @AmazonHelp Muchas gracias por la rápida respuesta &lt;3 https://t.co/xvPmdJNPwP,¡Hola! Los títulos disponibles en Prime Video pueden variar según la región debido a acuerdos de licencia. Estamos trabajando constantemente para mejorar nuestro catálogo. ¡Agradecemos tu paciencia y comprensión!,"[{""conversation_id"": 239485, ""customer_text"": ""@AmazonHelp 04/12 e soube disso pelo Intoxi Anime"", ""brand_reply"": ""@172902 Agora é aguardar só mais um pouco! Nos avise assim você receber seu pedido, para dividir a felicidade! ^CR"", ""score"": 0.5911587476730347}, {""conversation_id"": 2437711, ""customer_text"": ""@9131 please put Avatar the Last Airbender back on, ITS THE ONLY REASON I WATCHED PRIME VIDEO"", ""brand_reply"": ""@699273 I'm sorry, we're always working to improve our catalog to ensure access to the best selection of movies &amp; TV shows ^AN"", ""score"": 0.5436794757843018}, {""conversation_id"": 1605136, ""customer_text"": ""いつも間にかモヤさまがAmazonプライムにきてる！　モヤモヤさまぁ～ず2のシーズン1！\n\nモヤモヤさまぁ～ず2 Season1 Amazonビデオ ~ さまぁ～ず https://t.co/3qWmgBAwE1"", ""brand_reply"": ""@492401 きてます！ぜひまったりゆっくりお楽しみください😚🎉　MH"", ""score"": 0.542660117149353}, {""conversation_id"": 2757434, ""customer_text"": ""【#ポケットモンスター サン＆ムーン 見逃し配信再開📢】\nお待たせしました！#アローラ地方 で新しい冒険がはじまる新シリーズの配信が再開です😎#Amazonプライムビデオ ならその他 #ポケモン シリーズも見放題！ https://t.co/DchOprGp3f\n\n#ポケモンSM https://t.co/1xIfzGFVJd"", ""brand_reply"": ""@772194 ぜひお楽しみください😊✨ YM"", ""score"": 0.5402774214744568}, {""conversation_id"": 2285718, ""customer_text"": ""@AmazonHelp Den hab ich gerade nicht zur Hand 😅 unter serien bin ich bei Genres auf Anime und die kamen gleich am Anfang."", ""brand_reply"": ""@664194 Dann schau ich mal, ob wir das reproduzieren können ;) ^AN"", ""score"": 0.5302228927612305}]",4,4,4
538548,"@AmazonHelp warum sieht das buch, das ich neu gekauft habe, schon so zerlesen aus? :( https://t.co/HKTabRiQRx || @AmazonHelp ja, das paket war ziemlich riesig, also ist das wahrscheinlich der grund 🤔 trotzdem schade 😔","Es tut uns sehr leid zu hören, dass das Buch in einem beschädigten Zustand bei Ihnen angekommen ist. Bitte besuchen Sie unsere Selbstbedienungsseite für Rücksendungen und Ersatz, um eine passende Lösung für Ihre Bestellung zu finden: https://www.amazon.de/ruecksendungen","[{""conversation_id"": 726327, ""customer_text"": ""Dear @115821, I received a book in the mail and the corners of it at damaged. What up with that...?"", ""brand_reply"": ""@293987 I'm sorry for the way this book arrived. Have you looked into options here: https://t.co/Y5jpI9gRhE ^RR"", ""score"": 0.737794041633606}, {""conversation_id"": 805572, ""customer_text"": ""@115850 was this close to dispose off the packaging of my book till this dropped from it 🙂 thank you https://t.co/4q875YaBr0"", ""brand_reply"": ""@311960 Glad you were able to notice it.  It wasn't camouflage although. :) ^NK"", ""score"": 0.7279664278030396}, {""conversation_id"": 1569601, ""customer_text"": ""@AmazonHelp Sí pero no me ayudan. No puedo devolver un libro en formato kindle? Lo compré por error."", ""brand_reply"": ""@219335 Puedes seguir estos pasos para realizar la devolución, Susana: https://t.co/2eeM3jYqK7. ^LG"", ""score"": 0.7200651168823242}, {""conversation_id"": 2424592, ""customer_text"": ""Packaging for @115821 has gone to hell. Second time in the last 12 months I've ordered an expensive book and it has shipped with zero packaging. Book all dinged up."", ""brand_reply"": ""@696264 Terribly sorry about your damaged book, Chad! Let's see what options we have to get this sorted for you here: https://t.co/908lIgaDky ^JZ"", ""score"": 0.717673122882843}, {""conversation_id"": 1983648, ""customer_text"": ""@117086 decepcionando seus clientes. Os livros chegaram mal embalados e amassados, e eu que tenho que ir nos Correios devolver! hahahaha"", ""brand_reply"": ""@587145 Olá Rodrigo, sinto muito pelo inconveniente. Você já verificou esta informações:https://t.co/Tvck3CF8Ru . ^MB"", ""score"": 0.7144944667816162}]",4,4,4
1937632,@AmazonHelp amigos les acabo de enviar un mensaje 😏,¡Hola! Gracias por contactarnos. Te responderemos por mensaje directo a la brevedad. ¡Saludos!,"[{""conversation_id"": 2772983, ""customer_text"": ""@AmazonHelp Just sent a message."", ""brand_reply"": ""@775051 Cool. Keep us posted. We'd like to help. ^PK"", ""score"": 0.8602284789085388}, {""conversation_id"": 493344, ""customer_text"": ""@AmazonHelp j'ai ce message en fait ^^' je vous contact demain sinon https://t.co/gRBpC1QuWH"", ""brand_reply"": ""@232614 D'accord, tenez nous informé. ^BR"", ""score"": 0.7822055816650391}, {""conversation_id"": 2120962, ""customer_text"": ""@AmazonHelp I just sent you a message if you could please respond!"", ""brand_reply"": ""@624911 Hi, I cannot locate another message. Can you tell us more about your issue? Please do not share any personal / account info ^TP"", ""score"": 0.7763672471046448}, {""conversation_id"": 1521769, ""customer_text"": ""@AmazonHelp Thanks just sent a message"", ""brand_reply"": ""@143655 Please keep us posted, as we want to make sure your order arrives.  ^AG"", ""score"": 0.77033531665802}, {""conversation_id"": 245202, ""customer_text"": ""@AmazonHelp Hola os he dejado un mensaje!"", ""brand_reply"": ""@174212 Hola Sara, te enviaremos una respuesta por mensaje directo. ¡Saludos! ^LG"", ""score"": 0.7690937519073486}]",3,4,2
160365,@AmazonHelp Alguma chance do box Mistborn voltar ao preço promocional? :),Olá! Os preços e promoções no site podem variar com o tempo e dependem da disponibilidade. Recomendamos adicionar o item à sua lista de desejos ou acompanhar a página do produto para conferir eventuais futuras ofertas. Obrigado pelo contato!,"[{""conversation_id"": 2897677, ""customer_text"": ""@AmazonHelp any idea when the guy Martin proper box set will be back in stock? Looking at it for a Xmas present"", ""brand_reply"": ""@740102 Hi, do we have a rough time-frame of when it will be available on the product page? If not, we won't have any further information as to when we will receive it back in stock.^PJ"", ""score"": 0.6179847121238708}, {""conversation_id"": 2779195, ""customer_text"": ""@AmazonHelp Thanks! There is an option for a refund yes, but the price has gone up so I'll be out of pocket - we've missed the offer on the product now through no fault of our own :("", ""brand_reply"": ""@776291 If a refund is process, you will be reimbursed for the amount that was paid for the item at the time. ^WM"", ""score"": 0.6105031967163086}, {""conversation_id"": 1694505, ""customer_text"": ""@AmazonHelp But few hours back it is available. So is there any chance to buy it in exchange ?"", ""brand_reply"": ""@514162 Only if the buyback option is still available, you can avail the same. ^CB"", ""score"": 0.6076072454452515}, {""conversation_id"": 1178008, ""customer_text"": ""@AmazonHelp sì certo me ne rendo conto, ma siccome l'ultimo rimasto non è stato più venduto, non dovrebbe essere ancora disponibile?"", ""brand_reply"": ""@397053 È probabile che nel frattempo l'articolo sia stato acquistato da un altro cliente. A presto! ^CS"", ""score"": 0.5852560997009277}, {""conversation_id"": 2666311, ""customer_text"": ""@AmazonHelp Non è più in offerta 😆"", ""brand_reply"": ""@751185 😂😂 Allora non perderla di vista! Buona domenica! 😊 ^VE"", ""score"": 0.5828920006752014}]",4,5,4
2640935,"When you hear a rustling at the door and instantaneously receive text message, email, and push notifications... thank you @115821 &amp; @115817 for delivering #FridaySmiles.",Thank you for sharing your positive experience! We're glad to hear your delivery went smoothly. Have a great day!,"[{""conversation_id"": 2221915, ""customer_text"": ""@AmazonHelp Message sent."", ""brand_reply"": ""@201458 Thanks! I confirmed we've received your details, and will be reaching out to you as soon as we're able to provide additional information. ^JN"", ""score"": 0.6100894212722778}, {""conversation_id"": 427758, ""customer_text"": ""@AmazonHelp Bekam gerade eine Mail, alles ok. Es liess sich anfangs etwas zäh an. Danke!"", ""brand_reply"": ""@216721 Gerne 😊  Danke für die Rückmeldung! Gruß ^MH"", ""score"": 0.5884900093078613}, {""conversation_id"": 637284, ""customer_text"": ""@AmazonHelp Oui le message envoyé par SMS ou il y a un numéro"", ""brand_reply"": ""@222203 Oui tout à fait, il suffit juste s’inscrire au service Alertes SMS via la page suivante : https://t.co/26GKFk6cVE ^SB"", ""score"": 0.5863735675811768}, {""conversation_id"": 2887297, ""customer_text"": ""@AmazonHelp On peut échanger par MP pour des SMS recus étranges? Merci"", ""brand_reply"": ""@800677 À disposition. Vous vous pouvez initier la conversation en message privé. ^SB"", ""score"": 0.5859060287475586}, {""conversation_id"": 2960431, ""customer_text"": ""Avant de m'enerver, j'ai consulté mes mails.\r@120533 le service SMS pour être prévenu il sert à quoi?🤬🤬🤬 https://t.co/NdNVJZTX4m"", ""brand_reply"": ""@136726 Bonsoir, je suis désolé pour cela :\\ N'hésitez pas à signaler l'incident à notre SAV afin de faire remonter l'information. ^MH"", ""score"": 0.5850934386253357}]",5,4,5
224951,"@115850 Order cancelled Sep26, still no news of refund. TrackingID 451101869025 || @AmazonHelp Got my issue resolved. Thanks for the prompt action and help :) :)
@115850","We're glad to hear your issue has been resolved! If you need any further assistance, feel free to reach out. Have a great day!","[{""conversation_id"": 351440, ""customer_text"": ""@115850 Order # 408-2638076-8341900 was cancelled on 26th sep but my refund is still not initiated. Please work asap. Reg No- 8777602446"", ""brand_reply"": ""@199602 Don’t provide your order and contact details as its personal information. Our Twitter page is visible to public.(2/2)^RS"", ""score"": 0.885735273361206}, {""conversation_id"": 533260, ""customer_text"": ""@115850 I had cancelled my order 171-3881888-6984365, but I am yet to receive my refund. Can you pls update?"", ""brand_reply"": ""@243540 Also, please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AP"", ""score"": 0.8454303741455078}, {""conversation_id"": 2673430, ""customer_text"": ""@AmazonHelp my order no is 405-5864882-4156312. Cancelled but not refunded"", ""brand_reply"": ""@752408 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP 2/2"", ""score"": 0.8443411588668823}, {""conversation_id"": 1265200, ""customer_text"": ""@115850 I have cancelled order on 20-Sep-2017 but still haven't received the refund amount. DM me ASAP. 😠"", ""brand_reply"": ""@416256 Please DM us, we will get in touch with you. ^SC"", ""score"": 0.8439357280731201}, {""conversation_id"": 288186, ""customer_text"": ""@AmazonHelp I have been trying to get a refund of an order since 15 days without 1 satisfactory answer from you. Order no. 404-7609579-9353945."", ""brand_reply"": ""@184654 Also, please don't provide your order details as its considered personal info. Our Twitter page is visible to public. 2/2 ^AB"", ""score"": 0.835237979888916}]",4,5,4
417008,"@AmazonHelp I bought two Prime elegible items on the 8th. They’ve been dispatched with an expected arrival of this Sunday. Is that right? :) || @AmazonHelp So once an item ships it’ll be received in two business days? || @AmazonHelp Okay. It shipped yesterday with an estimate arrival of this Sunday. Five working days seems long for a hairdryer, yeah? || @AmazonHelp Carrier is AMZMX. Your website lists the same arrival estimate.","Prime Two-day shipping refers to the transit time once the item actually ships, and delivery estimates also account for processing time and item availability. We appreciate your patience!","[{""conversation_id"": 78833, ""customer_text"": ""Hi @116090 ... I ordered a product on Wednesday evening, \""Prime Two-day shipping\"" is the default, and I'm told that I'll get it on Tuesday next week? That feels like \""six day shipping\"" or maybe five day. It definitely isn't TWO day shipping! https://t.co/KnnTiIWzUR"", ""brand_reply"": ""@133579 Thank you for contacting us. We are here to help!  Prime Two-day shipping refers to the transit time, in business days, once the item has shipped. Some items require more processing time than others. Learn more here: https://t.co/lg1Bdfzmzp Hope this helps! ^SC"", ""score"": 0.7417828440666199}, {""conversation_id"": 2378924, ""customer_text"": ""@AmazonHelp Yes an order from you. Items with Prime Shipping. At 8pm I get an update from you saying now the shipping could now take up to another 2 days &amp; if 3 days go by \""please come back for more options\"". The order arrived at our local carrier facility at 3:50am today."", ""brand_reply"": ""@681814 I'm sorry for the delay. Please pass your order details to us here: https://t.co/O4dOPG87Ro ^RR"", ""score"": 0.7384070158004761}, {""conversation_id"": 2564037, ""customer_text"": ""@115821 So, if I order an item with Prime “2-day shipping” on Thursday at 1PM EST, why is it guaranteed to be delivered by the following Tuesday?? That’s NOT 2 days. That’s not even 4 days. It’s Prime 5-day shipping! You’ve been slipping for awhile now, #Amazon. Get it together!!"", ""brand_reply"": ""@646271 Prime Two-day Shipping refers to the amount of time it takes an item to reach you once it actually ships. This does not account for processing time, as some items may take longer to process and procure. More info can be found here: https://t.co/mcw7UOZusJ ^NC"", ""score"": 0.7359410524368286}, {""conversation_id"": 2863512, ""customer_text"": "".@115821 So, earlier today my package was supposed to be here by 8 PM today. Now, there's an extra box (Out For Delivery) and I'm guessing I'm to assume it will be here tomorrow. What's the point of Prime 2-day shipping if you make the rules up as you go? https://t.co/3y5ASRdF5e"", ""brand_reply"": ""@278334 I'm sorry for any concern this may have caused. Some items can ship and deliver same day. Please let us know if you don't receive your order by 8pm. ^SG"", ""score"": 0.7149017453193665}, {""conversation_id"": 2526272, ""customer_text"": ""So I put in an order last night on @115821 and was surprised that with two-day shipping that it would come Monday. I checked today and it says the say item will be delivered Friday with two-day if it's ordered in the next 3 hours? WTF @115821?"", ""brand_reply"": ""@258798 Shipping is based on the time the item ships not from the time the order is placed. Also shipping is calculated based on item availability. For more info you can look here: https://t.co/CbIiDWhrsm ^BA"", ""score"": 0.7053838968276978}]",5,4,5
2311423,午後のAmazon #きょうのルー君 https://t.co/AQXZXF62o5,@AmazonHelp ご利用いただきありがとうございます！何かお困りのことがございましたら、お気軽にお知らせください。,"[{""conversation_id"": 2929568, ""customer_text"": ""Amazonさん早く発送してくださいよ〜"", ""brand_reply"": ""@810429 心待ちにしていただいているところ、恐れ入ります。当サイトではご案内しているお届け予定日までに商品をお届けするよう努めておりますので、恐れ入りますが、お届け予定日を目安に今しばらくお待ちください。 RI"", ""score"": 0.9043552875518799}, {""conversation_id"": 2526979, ""customer_text"": ""きたく！そしてAmazonさんすてき！ https://t.co/94cilzVfLa"", ""brand_reply"": ""@719512 |∀・)ﾁﾗ\nご利用いただきありがとうございます！またお待ちしております：*：ﾟ･☆ MH"", ""score"": 0.8960379362106323}, {""conversation_id"": 2308107, ""customer_text"": ""クソーどうすりゃいいの\n助けてAmazon\n@AmazonHelp"", ""brand_reply"": ""@669519 おはようございます！Amazonです。\niOS用のアプリからはApple社により定められているポリシーにより、直接コンテンツを購入することができません。お手数ですがsafariを起動し、ご注文いただければと存じます。 TY"", ""score"": 0.8951718211174011}, {""conversation_id"": 2291392, ""customer_text"": ""愛してるぜAmazonプライム"", ""brand_reply"": ""@665508 ありがとうございます(*ゝωδ)⌒☆　SM"", ""score"": 0.8949494957923889}, {""conversation_id"": 1377440, ""customer_text"": ""Amazon、午前中指定したのに来ねーぞ"", ""brand_reply"": ""@440657 ご迷惑をおかけしております。状況をお調べした上でご案内させていただきますので、誠に恐れ入りますが、以下のリンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizFHia TN"", ""score"": 0.892056405544281}]",4,5,4
633498,Amazon支払いって注文番号じゃないの！？！！！！誰か！！！助けて😭,Amazonでのコンビニ決済やATM決済などのお支払い番号は、注文確定後にお送りするメールまたはアカウントサービスの注文履歴よりご確認いただけます。詳しくはこちらのヘルプページをご参照ください。 https://t.co/7XGrxNphFt,"[{""conversation_id"": 2459973, ""customer_text"": ""届いた!!\nもう神!!\nAmazonありがと!!\n#Amazon https://t.co/t9Q8gwRJYJ"", ""brand_reply"": ""@704451 ご注文ありがとうございます！！(((((((((((っ･ω･)っ ﾌﾞｰﾝ ET"", ""score"": 0.8897064924240112}, {""conversation_id"": 2321052, ""customer_text"": ""amazonで注文したらいつ支払いすればいいの？？📨🌊"", ""brand_reply"": ""@672638 (2/2)出荷準備開始後もお支払い番号が記載されたEメールが届いていない場合は、こちらのメッセージセンターをご確認ください。&gt; https://t.co/PAK8dGjdhO YM"", ""score"": 0.8600548505783081}, {""conversation_id"": 2936562, ""customer_text"": ""Amazon神対応すぎる！！\n返金とか速いし、電話対応も丁寧だし\nさすがAmazon"", ""brand_reply"": ""@811807 お褒めいただき光栄です (人´∀｀o）✧˖°　今後ともどうぞよろしくお願いいたします。　SM"", ""score"": 0.8561558127403259}, {""conversation_id"": 607033, ""customer_text"": ""いつになってもワイルドスピードと美女と野獣の支払い番号がAmazonから届かないんだけどどうなってる？？？？？"", ""brand_reply"": ""@264258 お支払い番号は商品によって発行時期が異なります。また、発行済みの場合には、アカウントサービスの注文履歴から番号を確認することが可能です。発行タイミングなど詳しくは、リンクのヘルプをご参照ください。https://t.co/7XGrxNphFt TN"", ""score"": 0.8554065823554993}, {""conversation_id"": 1007834, ""customer_text"": ""Amazonプライム会員なんて登録した覚えないのに請求きてるよ！！なんでよ！！3900えん。。返金してほしいよ〜😢"", ""brand_reply"": ""@358488 無料体験を利用されたことはありませんか？申し込み時にご案内しているように、設定を変更しない場合、期間終了後に本会員へ移行します。年会費請求後にに特典のご利用がなければ、キャンセル手続き後に返金いたします。 https://t.co/JrKFIybs6n RI"", ""score"": 0.8545831441879272}]",5,4,3
